Carimbo de data/hora;ID;Selecionado;Gênero;Qual a sua escola / faculdade / instituto?;Qual o seu curso / programa de pós?;Em que ano você está?;Você já participou de quantos hackathons?;Qual a sua especialidade?;Você já tem equipe formada?;Se sim, conte-nos quem são:;Time
12/10/2016 21:03:01;56;S;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2º ano;2;Desenvolvedor;Não;;0
12/10/2016 21:03:06;30;S;M;Escola Politécnica (Poli);Engenharia Elétrica;2º ano;2;Desenvolvedor;Sim;20, 30, 60, 66, 85;5
12/10/2016 21:03:09;49;S;M;Escola Politécnica (Poli);Engenharia Elétrica;2º ano;0;Desenvolvedor;Sim;49, 91, 94;11
12/10/2016 21:03:13;85;S;M;Escola Politécnica (Poli);Engenharia Elétrica;2º ano;0;Negócios;Sim;20, 30, 60, 66, 85;5
12/10/2016 21:03:20;35;S;M;Faculdade de Economia, Administração e Contabilidade (FEA);Adminstração;2º ano;0;Negócios;Não;;0
12/10/2016 21:03:23;10;S;M;Escola Politécnica (Poli);Engenharia Elétrica;5º ano;0;Desenvolvedor;Sim;10, 97;2
12/10/2016 21:03:24;91;S;M;Escola Politécnica (Poli);Engenharia Elétrica;2º ano;0;Desenvolvedor;Sim;49, 91, 94;11
12/10/2016 21:03:30;27;S;M;Escola Politécnica (Poli);Engenharia Mecatrônica;3º ano;0;Desenvolvedor;Não;;0
12/10/2016 21:03:37;73;S;M;Escola Politécnica (Poli);Engenharia de Materiais;1º ano;0;Negócios;Sim;29, 33, 38, 73;7
12/10/2016 21:03:56;18;S;M;Escola Politécnica (Poli);Pós-graduação em Engenharia da Computação;Pós-graduação;0;Desenvolvedor;Não;7, 16, 18, 37;13
12/10/2016 21:04:01;96;S;M;Escola Politécnica (Poli);Engenharia Mecatrônica;2º ano;0;Negócios;Sim;34, 72, 96;9
12/10/2016 21:04:13;93;S;M;Escola Politécnica (Poli);Engenharia Ambiental;5º ano;0;Desenvolvedor;Sim;92, 93;16
12/10/2016 21:04:17;44;S;M;Escola Politécnica (Poli);Pós-doutorado em Engenharia da Produção;2º ano;2;Negócios;Não;;0
12/10/2016 21:04:21;89;S;F;Escola de Engenharia de São Carlos (EESC);Engenharia de Produção;5º ano;0;Negócios;Sim;2, 40, 86, 89;4
12/10/2016 21:04:21;83;S;M;Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto (FEA-RP);Economia Empresarial e Controladoria;1º ano;0;Desenvolvedor;Sim;31, 61, 79, 83;8
12/10/2016 21:04:24;26;S;M;Escola Politécnica (Poli);Engenharia de Produção;5º ano;0;Negócios;Sim;11, 24, 26;3
12/10/2016 21:04:29;94;S;M;Escola Politécnica (Poli);Engenharia Elétrica;2º ano;1;Desenvolvedor;Sim;49, 91, 94;11
12/10/2016 21:04:37;31;S;M;Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto (FEA-RP);Economia Empresarial e Controladoria;1º ano;0;Negócios;Sim;31, 61, 79, 83;8
12/10/2016 21:04:44;11;S;M;Escola Politécnica (Poli);Engenharia de Produção;5º ano;0;Negócios;Sim;11, 24, 26;3
12/10/2016 21:04:47;63;S;F;Escola Politécnica (Poli);MBA - Tecnologia de Software;Pós-graduação;1;Desenvolvedor;Não;;0
12/10/2016 21:05:29;80;S;M;Escola Politécnica (Poli);Engenharia Elétrica;3º ano;0;Desenvolvedor;Sim;43, 45, 80;10
12/10/2016 21:05:52;8;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Sim;8, 32, 41;14
12/10/2016 21:06:00;9;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;1;Desenvolvedor;Sim;9, 77;15
12/10/2016 21:07:03;32;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Sim;8, 32, 41;14
12/10/2016 21:07:13;79;S;M;Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto (FEA-RP);Economia Empresarial e Controladoria;1º ano;0;Negócios;Sim;31, 61, 79, 83;8
12/10/2016 21:07:19;92;S;M;Escola Politécnica (Poli);Engenharia Elétrica;5º ano;0;Desenvolvedor;Sim;92, 93;16
12/10/2016 21:07:21;77;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Sim;9, 77;15
12/10/2016 21:07:35;43;S;M;Escola Politécnica (Poli);Engenharia Elétrica;3º ano;1;Desenvolvedor;Sim;43, 45, 80;10
12/10/2016 21:10:58;29;S;M;Escola Politécnica (Poli);Engenharia da Computação;2º ano;0;Desenvolvedor;Sim;29, 33, 38, 73;7
12/10/2016 21:11:18;95;S;M;Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto (FEA-RP);Economia Empresarial e Controladoria;1º ano;0;Negócios;Não;;0
12/10/2016 21:13:50;51;S;M;Escola Politécnica (Poli);Engenharia Mecatrônica;1º ano;0;Desenvolvedor;Não;;0
12/10/2016 21:15:41;39;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Matemática Aplicada;3º ano;0;Desenvolvedor;Não;;0
12/10/2016 21:19:48;33;S;M;Escola Politécnica (Poli);Engenharia;1º ano;0;Desenvolvedor;Sim;29, 33, 38, 73;7
12/10/2016 21:20:15;12;S;M;Escola de Engenharia de São Carlos (EESC);Engenharia da Computação;3º ano;2;Desenvolvedor;Não;;0
12/10/2016 21:21:57;58;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;2;Desenvolvedor;Não;;0
12/10/2016 21:24:04;47;S;M;Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto (FEA-RP);Economia Empresarial e Controladoria;1º ano;0;Negócios;Não;;0
12/10/2016 21:28:48;38;S;M;Escola Politécnica (Poli);Engenharia de Materiais;1º ano;0;Desenvolvedor;Sim;29, 33, 38, 73;7
12/10/2016 21:37:56;5;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3º ano;0;Desenvolvedor;Não;;0
12/10/2016 21:38:02;16;S;M;Escola Politécnica (Poli);Pós-graduação em Engenharia da Computação;Pós-graduação;0;Desenvolvedor;Sim;7, 16, 18, 37;13
