Edição;Carimbo de data/hora;ID;Gênero;Qual a sua escola / faculdade / instituto?;Qual o seu curso / programa de pós?;Em que ano você está?;Você já participou de quantos hackathons?;Qual a sua especialidade?;Você já tem equipe formada?;Time;Selecionado
2017.1;2017/07/19 9:21:12 PM ;49;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;1;Desenvolvedor;Sim;20;S
2017.1;2017/07/19 11:41:54 PM ;56;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Desenvolvedor;Não;0;S
2017.1;2017/07/19 9:20:23 PM ;63;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5° ano ou mais;1;Desenvolvedor;Não;4;S
2017.1;2017/07/20 8:59:10 AM ;69;F;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Desenvolvedor;Sim;15;S
2017.1;2017/07/19 9:33:44 PM ;71;?;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;1;Desenvolvedor;Não;0;N
2017.1;2017/07/19 9:04:34 PM ;74;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;1;Desenvolvedor;Sim;18;S
2017.1;2017/07/19 9:04:40 PM ;76;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4° ano;1;Desenvolvedor;Sim;4;S
2017.1;2017/07/19 9:12:16 PM ;77;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da computação;3° ano;1;Desenvolvedor;Sim;20;S
2017.1;2017/07/19 9:04:33 PM ;80;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;1;Desenvolvedor;Sim;18;S
2017.1;2017/07/19 9:04:51 PM ;85;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;1;Desenvolvedor;Sim;18;S
2017.1;2017/07/19 9:09:34 PM ;93;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;1;Desenvolvedor;Não;0;S
2017.1;2017/07/20 9:05:34 PM ;96;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;0;Desenvolvedor;Sim;3;S
2017.1;2017/07/19 9:22:22 PM ;98;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;1;Desenvolvedor;Sim;20;S
2017.1;2017/07/19 11:30:43 PM ;99;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;0;Desenvolvedor;Sim;16;S
2017.1;2017/07/19 9:55:14 PM ;100;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;0;Desenvolvedor;Sim;16;S
2017.1;2017/07/19 9:10:39 PM ;103;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;1;Desenvolvedor;Não;0;N
2017.1;2017/07/21 5:32:56 PM ;114;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Desenvolvedor;Não;0;S
2017.1;2017/08/01 1:58:57 PM ;116;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;1;Desenvolvedor;Sim;22;S
2017.1;2017/07/20 9:08:10 PM ;119;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Desenvolvedor;Sim;3;S
2017.2;18/10/2017 21:02:07;7;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;1;Desenvolvedor;Sim;0;S
2017.2;19/10/2017 09:19:04;8;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;0;Desenvolvedor;Não;0;S
2017.2;19/10/2017 23:58:17;23;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;1;Desenvolvedor;Não;11;S
2017.2;18/10/2017 21:05:42;31;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4° ano;0;Desenvolvedor;Não;0;S
2017.2;18/10/2017 21:14:00;65;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;1;Desenvolvedor;Não;0;S
2017.2;23/10/2017 01:48:23;74;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Desenvolvedor;Sim;11;S
